customer_id,company_name,industry,company_size,maintenance_model,equipment_criticality,annual_revenue_estimated,maintenance_budget_annual,downtime_cost_per_hour,preferred_supplier,relationship_start_date,active,last_updated
C00001,Empresa Industrial 1,Química,Grande,Terceirizada,Baixa,1474241230.23,2824887.23,3170.4,False,2016-10-22,True,2026-01-03 20:28:51.535544
C00002,Empresa Industrial 2,Automotiva,Grande,Mista,Média,3453635069.78,2913305.71,41838.33,True,2022-03-26,True,2026-01-03 20:28:51.535625
C00003,Empresa Industrial 3,Alimentos,Pequena,Mista,Alta,4505871253.61,154697.84,12088.05,True,2022-10-12,True,2026-01-03 20:28:51.535684
C00004,Empresa Industrial 4,Automotiva,Pequena,Mista,Alta,1170285548.87,663312.06,10768.29,False,2001-10-06,True,2026-01-03 20:28:51.535713
C00005,Empresa Industrial 5,Automotiva,Pequena,Interna,Média,3405395360.57,1099120.2,39752.67,True,2013-04-30,True,2026-01-03 20:28:51.535741
C00006,Empresa Industrial 6,Mineração,Pequena,Mista,Alta,4112404144.67,1480194.3,42702.5,False,2022-11-11,True,2026-01-03 20:28:51.535768
C00007,Empresa Industrial 7,Automotiva,Pequena,Mista,Alta,2746681198.48,4178281.62,37829.63,True,2017-04-19,True,2026-01-03 20:28:51.535794
C00008,Empresa Industrial 8,Alimentos,Média,Terceirizada,Baixa,1872548405.16,1426731.4,9928.36,False,2004-07-26,True,2026-01-03 20:28:51.535822
C00009,Empresa Industrial 9,Energia,Pequena,Interna,Alta,710781203.92,3414321.44,33531.67,False,2006-01-11,False,2026-01-03 20:28:51.535853
C00010,Empresa Industrial 10,Química,Média,Mista,Baixa,855128333.7,2283983.54,38195.87,False,2005-02-25,False,2026-01-03 20:28:51.535887
C00011,Empresa Industrial 11,Química,Grande,Interna,Alta,1445678098.51,4183805.01,40653.06,True,2021-02-02,True,2026-01-03 20:28:51.535910
C00012,Empresa Industrial 12,Cimento,Média,Terceirizada,Média,407391630.32,2602766.25,4156.06,True,2002-11-14,True,2026-01-03 20:28:51.535930
C00013,Empresa Industrial 13,Automotiva,Pequena,Mista,Baixa,3099301890.91,3494923.03,48499.5,True,2021-01-19,True,2026-01-03 20:28:51.535974
C00014,Empresa Industrial 14,Mineração,Média,Interna,Baixa,3782769434.34,4904586.06,33307.95,False,2004-11-04,True,2026-01-03 20:28:51.535994
C00015,Empresa Industrial 15,Siderurgia,Média,Interna,Média,4011591053.95,1386033.23,5408.93,True,2020-06-20,True,2026-01-03 20:28:51.536015
C00016,Empresa Industrial 16,Alimentos,Média,Terceirizada,Alta,4526220418.17,3407811.91,8052.02,False,2002-07-03,False,2026-01-03 20:28:51.536035
C00017,Empresa Industrial 17,Automotiva,Média,Interna,Baixa,884328570.0,3407839.18,42695.45,True,2005-11-05,True,2026-01-03 20:28:51.536055
C00018,Empresa Industrial 18,Mineração,Pequena,Mista,Baixa,3315648018.16,3972760.35,23657.67,False,2007-03-27,True,2026-01-03 20:28:51.536096
C00019,Empresa Industrial 19,Papel e Celulose,Grande,Mista,Média,2928273501.18,4134388.5,41333.32,True,2006-02-15,True,2026-01-03 20:28:51.536138
C00020,Empresa Industrial 20,Automotiva,Média,Mista,Baixa,4943557750.68,1812428.02,27931.17,True,2012-08-25,False,2026-01-03 20:28:51.536158
C00021,Empresa Industrial 21,Química,Grande,Terceirizada,Média,133614220.72,4163209.67,39685.57,False,2022-06-14,False,2026-01-03 20:28:51.536178
C00022,Empresa Industrial 22,Alimentos,Grande,Terceirizada,Alta,2296171686.21,3149127.17,14801.66,True,2012-06-23,False,2026-01-03 20:28:51.536219
C00023,Empresa Industrial 23,Alimentos,Pequena,Terceirizada,Alta,792374015.63,482216.22,13985.12,False,2019-04-15,True,2026-01-03 20:28:51.536238
C00024,Empresa Industrial 24,Química,Média,Mista,Média,108045587.41,3301068.57,1074.73,False,2006-01-18,False,2026-01-03 20:28:51.536257
C00025,Empresa Industrial 25,Papel e Celulose,Grande,Mista,Alta,2048819494.94,1238282.24,12015.58,False,2001-03-18,True,2026-01-03 20:28:51.536278
C00026,Empresa Industrial 26,Papel e Celulose,Grande,Interna,Média,3901905387.23,1850503.39,3317.07,False,2010-04-06,False,2026-01-03 20:28:51.536298
C00027,Empresa Industrial 27,Automotiva,Pequena,Mista,Alta,3971695649.32,3574064.67,48321.83,True,2000-08-19,True,2026-01-03 20:28:51.536318
C00028,Empresa Industrial 28,Cimento,Média,Terceirizada,Baixa,1323721321.57,781589.82,4351.76,False,2014-10-16,False,2026-01-03 20:28:51.536337
C00029,Empresa Industrial 29,Cimento,Pequena,Mista,Alta,1575724580.44,3968026.23,37686.29,False,2008-11-27,True,2026-01-03 20:28:51.536382
C00030,Empresa Industrial 30,Automotiva,Média,Interna,Média,1437205670.35,2492256.21,21075.63,False,2021-06-20,True,2026-01-03 20:28:51.536400
C00031,Empresa Industrial 31,Automotiva,Grande,Interna,Alta,3339308846.27,3958816.54,37289.08,False,2013-02-23,True,2026-01-03 20:28:51.536418
C00032,Empresa Industrial 32,Alimentos,Média,Mista,Média,3356729641.25,4400036.0,47613.04,True,2003-03-13,False,2026-01-03 20:28:51.536435
C00033,Empresa Industrial 33,Papel e Celulose,Grande,Interna,Média,1892649326.33,4359340.09,38630.67,True,2003-03-17,True,2026-01-03 20:28:51.536454
C00034,Empresa Industrial 34,Alimentos,Pequena,Interna,Baixa,1708956336.23,67143.86,26882.96,False,2018-04-12,True,2026-01-03 20:28:51.536474
C00035,Empresa Industrial 35,Siderurgia,Grande,Terceirizada,Baixa,2084584266.42,4108198.17,10582.15,False,2006-11-21,True,2026-01-03 20:28:51.536495
C00036,Empresa Industrial 36,Química,Média,Interna,Alta,3399594107.94,1450289.24,24917.47,True,2015-03-24,True,2026-01-03 20:28:51.536513
C00037,Empresa Industrial 37,Energia,Pequena,Interna,Baixa,4667647378.85,1386405.48,19816.08,True,2003-01-01,True,2026-01-03 20:28:51.536530
C00038,Empresa Industrial 38,Papel e Celulose,Grande,Mista,Baixa,3316275444.78,789166.86,29828.52,True,2003-01-16,False,2026-01-03 20:28:51.536548
C00039,Empresa Industrial 39,Automotiva,Grande,Mista,Alta,124349627.23,3321616.71,48941.55,False,2022-11-06,False,2026-01-03 20:28:51.536568
C00040,Empresa Industrial 40,Alimentos,Pequena,Mista,Baixa,1137327599.59,229897.45,3024.2,True,2003-08-27,True,2026-01-03 20:28:51.536588
C00041,Empresa Industrial 41,Alimentos,Média,Mista,Média,1426319569.53,374615.31,19668.45,False,2004-08-23,False,2026-01-03 20:28:51.536609
C00042,Empresa Industrial 42,Papel e Celulose,Média,Interna,Alta,1701672539.14,1274704.19,12571.87,False,2007-10-10,False,2026-01-03 20:28:51.536632
C00043,Empresa Industrial 43,Papel e Celulose,Pequena,Interna,Alta,2609007088.51,2428132.36,41781.64,True,2019-12-26,True,2026-01-03 20:28:51.536650
C00044,Empresa Industrial 44,Alimentos,Pequena,Terceirizada,Média,900949054.24,1666175.74,36254.81,True,2017-09-17,True,2026-01-03 20:28:51.536668
C00045,Empresa Industrial 45,Mineração,Pequena,Interna,Baixa,2110568226.17,4135718.99,11733.77,True,2018-08-08,False,2026-01-03 20:28:51.536690
C00046,Empresa Industrial 46,Alimentos,Pequena,Mista,Baixa,2078291876.05,3365538.92,38325.81,True,2005-04-26,True,2026-01-03 20:28:51.536709
C00047,Empresa Industrial 47,Cimento,Pequena,Terceirizada,Baixa,2477041245.18,4367179.62,24342.95,False,2012-05-25,True,2026-01-03 20:28:51.536728
C00048,Empresa Industrial 48,Cimento,Média,Mista,Baixa,2851434570.0,3233598.02,4234.18,True,2005-10-22,False,2026-01-03 20:28:51.536749
C00049,Empresa Industrial 49,Química,Grande,Interna,Alta,3728353638.07,1730649.54,11297.18,False,2005-05-11,True,2026-01-03 20:28:51.536787
C00050,Empresa Industrial 50,Química,Pequena,Mista,Média,4796577831.4,1335291.99,19569.8,False,2013-09-08,True,2026-01-03 20:28:51.536843
C00051,Empresa Industrial 51,Química,Pequena,Interna,Alta,2084952117.37,2792876.47,33719.97,False,2016-06-23,True,2026-01-03 20:28:51.536876
C00052,Empresa Industrial 52,Alimentos,Grande,Mista,Alta,115927922.1,1795388.52,3150.17,False,2014-12-16,True,2026-01-03 20:28:51.536910
C00053,Empresa Industrial 53,Cimento,Média,Mista,Baixa,2992510066.68,4646575.75,19407.05,False,2023-02-25,True,2026-01-03 20:28:51.536949
C00054,Empresa Industrial 54,Papel e Celulose,Grande,Mista,Alta,3382400644.29,2025096.87,49817.27,False,2009-08-31,False,2026-01-03 20:28:51.536995
C00055,Empresa Industrial 55,Alimentos,Média,Interna,Alta,243836745.92,1639487.09,48083.86,True,2008-08-07,False,2026-01-03 20:28:51.537021
C00056,Empresa Industrial 56,Cimento,Média,Terceirizada,Alta,4662666295.62,4209677.35,26062.83,False,2010-12-12,True,2026-01-03 20:28:51.537050
C00057,Empresa Industrial 57,Automotiva,Grande,Mista,Baixa,4983510005.59,1438158.46,41662.79,True,2000-01-13,True,2026-01-03 20:28:51.537080
C00058,Empresa Industrial 58,Energia,Pequena,Interna,Média,3941291631.17,2818318.42,37382.41,False,2013-03-09,True,2026-01-03 20:28:51.537102
